id,template,genre,genres,word_len,warn_long,warn_prescribes_side,warn_conclusion_only,warn_hook,warn_partial,warn_allcaps,annot1_label,n_duplicates
lmsys-620753,"create an abstract on the topic ""X""",abstract,['abstract'],7,,,,,,False,minor edits,1
sharegpt-79385,could you write an 800-word abstract on X?,abstract,['abstract'],8,,,,,,False,minor edits,1
lmsys-62359,analysis report on X,analysis,"['analysis', 'report']",4,,,,,,False,major edits,1
lmsys-749698,write a political analysis of X,analysis,['analysis'],6,,,,,,False,minor edits,1
wildchat-125630,write a 2 page analysis on X,analysis,['analysis'],7,,,,,,False,major edits,1
prism-1530,Give me some arguments about X,argument,['argument'],6,,,,,,False,major edits,1
lmsys-348269,Write an 8-sentence argument about X.,argument,['argument'],6,,,,,,False,major edits,3
lmsys-556779,write three arguments about the motion: X,argument,['argument'],7,,,,,,False,major edits,1
wildchat-198502,Write me a philosophical argument about X,argument,['argument'],7,,,,,,False,major edits,2
lmsys-990435,give me long and detailed arguments about X,argument,['argument'],8,,,,,,False,major edits,1
lmsys-296487,Please generate a very well written argument about X,argument,['argument'],9,,,,,,False,major edits,1
wildchat-548723,please write a brief argument with scientific proven evidence about X,argument,['argument'],11,,,,,,False,major edits,1
wildchat-357755,can u write a hook for an persuasive argument paper about X,argument,['argument'],12,,\bpersuasive\b,,\bhook\b,,False,minor edits,1
lmsys-624419,Write an article X.,article,['article'],4,,,,,,False,minor edits,1
wildchat-141291,A complete article about X,article,['article'],5,,,,,,False,minor edits,1
wildchat-48562,Write detail newspaper article about X,article,['article'],6,,,,,,False,minor edits,1
lmsys-888497,"Create for me article about : ""X""",article,['article'],7,,,,,,False,minor edits,1
sharegpt-8954,Write an article on the theme X,article,['article'],7,,,,,,False,major edits,1
wildchat-408792,Write a 150 word article explaining X.,article,['article'],7,,,,,,False,major edits,1
lmsys-668487,"Write a newspaper article with the headline ""X""",article,['article'],8,,,,,,False,minor edits,1
lmsys-112227,Generate the best coolest 200 words article about X.,article,['article'],9,,,,,,False,minor edits,1
lmsys-89216,"Write a blog article on X, with few examples.",article,"['article', 'blog_post']",9,,,,,,False,major edits,2
wildchat-78033,Write an article about X 1000 words after the impression,article,['article'],10,,,,,,False,minor edits,3
sharegpt-35654,"In the YTN Issue the Issue program, write an article about X",article,['article'],12,,,,,,False,minor edits,1
wildchat-120087,Write an article with 10 headpoints on X. Add sources for all arguments.,article,"['article', 'argument']",13,,,,,,False,minor edits,1
wildchat-532884,"Help me write an article about ""X"". Write an article about 500 words",article,['article'],13,,,,,,False,minor edits,1
lmsys-145259,Write a unique and detailed article. The title of the article is X.,article,['article'],13,,,,,,False,minor edits,2
wildchat-267789,Write a 2 page paper on X using three cited sources from scholarly articles.,article,['article'],14,,,,,,False,minor edits,1
wildchat-210672,"Take five articles about ""X"" and give a short review about each article. Write a conclusion summarizing all the articles",article,['article'],20,,,\bconclusion\b,,,False,minor edits,1
lmsys-314263,Please help me write my thoughts on X. The number of words is about 300-400. Please help me write an article.,article,['article'],21,,,,,,False,major edits,2
sharegpt-65394,create a blog post on X,blog_post,['blog_post'],6,,,,,,False,minor edits,1
lmsys-913195,Can you compose a blog post about X?,blog_post,['blog_post'],8,,,,,,False,minor edits,1
lmsys-509447,Write a blog entry about X. Use examples,blog_post,['blog_post'],8,,,,,,False,minor edits,1
lmsys-492430,"Write me a 500 words blog post with title ""X""",blog_post,['blog_post'],10,,,,,,False,minor edits,1
wildchat-580797,"Create a 600 - 1,000 word blog post with an Edgy, forward-looking, unapologetic, slightly humorous, data-driven voice for an audience of Parents of K-12 students about X.",blog_post,['blog_post'],27,,,,,,False,major edits,1
wildchat-556229,"Write a blog post that explores X. Please use data and sources to make your points. Word count should be between 600 and 1000 words. Target voice is edgy, forward looking, unapologetic, slightly humorous, data-driven. Audience are parents of K-12 students.",blog_post,['blog_post'],41,,,,,,False,major edits,3
wildchat-132629,Discuss X. 1000 words,discussion,['discussion'],4,,,,,,False,minor edits,1
lmsys-623900,generate me a question for my diploma to discuss X,discussion,['discussion'],10,,,,,,False,major edits,1
wildchat-423106,Discuss X. write this in between 150 and 160 words,discussion,['discussion'],10,,,,,,False,minor edits,1
wildchat-89288,"Make an effective proposal on the topic ""X"", please justify your opinion",discussion,['discussion'],12,,,,,,False,minor edits,1
sharegpt-81748,"Using scholarly style, discuss in detail X, providing ample examples all along the discussion.",discussion,['discussion'],14,,,,,,False,minor edits,1
lmsys-939533,Write an essay discussing X,essay,['essay'],5,,,,,,False,minor edits,1
lmsys-27588,Provide an essay about X.,essay,['essay'],5,,,,,,False,major edits,3
wildchat-538773,make a reflective essay about X,essay,['essay'],6,,,,,,False,minor edits,1
wildchat-3400,"please write an essay on “X""",essay,['essay'],6,,,,,,False,major edits,1
wildchat-86280,Write a journalistic essay about X.,essay,['essay'],6,,,,,,False,minor edits,1
