cue_family,cue_group,cue_label,ces_variable,ces_population_score,ces_score,ces_shift
baseline,baseline,"No cue
(baseline)",CC25_324,0.3023991702431351,0.3023991702431351,0.0
explicit_political,republican,I am a Republican,CC25_324,0.3023991702431351,-0.12085222525851294,-0.42325139550164803
explicit_political,independent,I am an Independent,CC25_324,0.3023991702431351,0.3300257550207153,0.027626584777580176
explicit_political,democrat,I am a Democrat,CC25_324,0.3023991702431351,0.6911478177749677,0.3887486475318326
explicit_demographic,white_man,I am a White man,CC25_324,0.3023991702431351,0.21958746104651714,-0.08281170919661798
explicit_demographic,white_woman,I am a White woman,CC25_324,0.3023991702431351,0.33333375880816446,0.03093458856502934
explicit_demographic,black_man,I am a Black man,CC25_324,0.3023991702431351,0.29388442537262277,-0.008514744870512347
explicit_demographic,black_woman,I am a Black woman,CC25_324,0.3023991702431351,0.4104895033119316,0.1080903330687965
implicit_political,red_state,Resident of red state,CC25_324,0.3023991702431351,0.18415770844216475,-0.11824146180097037
implicit_political,swing_state,Resident of swing state,CC25_324,0.3023991702431351,0.26002043502307454,-0.04237873522006058
implicit_political,blue_state,Resident of blue state,CC25_324,0.3023991702431351,0.42471632206365173,0.12231715182051661
implicit_demographic,white_man,Name: white male,CC25_324,0.3023991702431351,0.21958746104651714,-0.08281170919661798
implicit_demographic,black_man,Name: black male,CC25_324,0.3023991702431351,0.29388442537262277,-0.008514744870512347
implicit_demographic,white_woman,Name: white female,CC25_324,0.3023991702431351,0.33333375880816446,0.03093458856502934
implicit_demographic,black_woman,Name: black female,CC25_324,0.3023991702431351,0.4104895033119316,0.1080903330687965
baseline,baseline,"No cue
(baseline)",CC25_321a,0.2573426991479737,0.2573426991479737,0.0
explicit_political,republican,I am a Republican,CC25_321a,0.2573426991479737,-0.21552713296263973,-0.4728698321106134
explicit_political,independent,I am an Independent,CC25_321a,0.2573426991479737,0.2046438680519232,-0.0526988310960505
explicit_political,democrat,I am a Democrat,CC25_321a,0.2573426991479737,0.7654391543068368,0.5080964551588631
explicit_demographic,white_man,I am a White man,CC25_321a,0.2573426991479737,0.0006839490346344807,-0.2566587501133392
explicit_demographic,white_woman,I am a White woman,CC25_321a,0.2573426991479737,0.3504806056709711,0.09313790652299742
explicit_demographic,black_man,I am a Black man,CC25_321a,0.2573426991479737,0.43550000937313105,0.17815731022515735
