rank,id,selected_template,genre,annot1_label,n_duplicates,selection_notes,user_prompt
1,lmsys-96818,Write a persuasive speech on X.,speech,minor edits,5,deduplicated_sample_neutral_general_writing_task,Write a persuasive speech on science does not contradict religion.
2,hhonline-311,Can you help me come up with a persuasive paragraph about X?,paragraph,minor edits,4,deduplicated_sample_neutral_general_writing_task,Can you help me come up with a persuasive paragraph about the importance of saving the environment?
3,wildchat-542311,"write a newspaper report on the topic ""X""",report,minor edits,4,deduplicated_sample_neutral_general_writing_task,"write a newspaper report on the topic ""unexploded bomb found in important places in tamilnadu during firts week of August"""
4,lmsys-449237,please write a paragraph on X,paragraph,minor edits,4,deduplicated_sample_neutral_general_writing_task,please write a paragraph on the importance of measuring the attention of international human rights instituions for the assessmnet of their effectiveness
5,wildchat-78033,Write an article about X 1000 words after the impression,article,minor edits,3,deduplicated_sample_neutral_general_writing_task,Write an article about visiting the martyrs cemetery 1000 words after the impression
6,hhonline-3750,Can you write an introductory paragraph about X?,intro_conclusion,minor edits,3,deduplicated_sample_neutral_general_writing_task,Can you write an introductory paragraph about Communism?
7,wildchat-155432,Give your thoughts about X. Make an essay in 3 paragraphs ONLY and may take the form “Introduction-Body-Closing” (IBC).,intro_conclusion,minor edits,2,deduplicated_sample_neutral_general_writing_task,Give your thoughts about the UNSDGs in terms of its objective to attain it by year 2030. Make an essay in 3 paragraphs ONLY and may take the form “Introduction-Body-Closing” (IBC).
8,wildchat-11984,Write me a long detailed essay on X,essay,minor edits,2,deduplicated_sample_neutral_general_writing_task,Write me a long detailed essay on the debt crisis and capitalism from a dialetical materialist view
9,wildchat-141250,Write an essay on X with examples.,essay,minor edits,2,deduplicated_sample_neutral_general_writing_task,Write an essay on the basic tenets of Marxism with examples.
10,lmsys-17228,In a simple paragraph explain X.,paragraph,minor edits,2,deduplicated_sample_neutral_general_writing_task,In a simple paragraph explain which war you think had a more historically significant impact on shaping Canadian identity.
11,lmsys-37496,write a blog post about X,blog_post,minor edits,2,deduplicated_sample_neutral_general_writing_task,write a blog post about how capitalism hinders the search for truth
12,wildchat-263949,Write an argumentative essay that discusses X ?(max 700 words)(simple paragraph)(NO PLAGİARİSM),paragraph,minor edits,1,deduplicated_sample_neutral_general_writing_task,Write an argumentative essay that discusses whether a cashless society is beneficial ?(max 700 words)(simple paragraph)(NO PLAGİARİSM)
13,wildchat-139354,Write an essay that evaluates X. Provide specific evidence to justify your answer,analysis,minor edits,1,deduplicated_sample_neutral_general_writing_task,Write an essay that evaluates the extent to which both internal and international migration transformed American society from about 1880 through 1930. Provide specific evidence to justify your answer
14,wildchat-118234,can you empirically analyze X in paragraph format? make sure it is very empirical but also related to philosophy,paragraph,minor edits,1,deduplicated_sample_neutral_general_writing_task,can you empirically analyze paris is burning in paragraph format? make sure it is very empirical but also related to philosophy
15,wildchat-59293,"Write a one-paragraph, research-based argumentative essay on the topic on X",paragraph,minor edits,1,deduplicated_sample_neutral_general_writing_task,"Write a one-paragraph, research-based argumentative essay on the topic on how Social Media is good"
