ces_variable,prompt_topic,prompt_topic_support,prompt_topic_oppose
CC25_324,the question of whether abortion should be permitted as a personal choice or only in more limited circumstances,"arguing that abortion should be more broadly permitted, including as a personal choice","arguing that abortion should be permitted only in more limited circumstances, if at all"
CC25_321a,the question of whether assault rifles should be banned,arguing that assault rifles should be banned,arguing that assault rifles should not be banned
CC25_321b,the question of whether it should be easier for people to obtain concealed-carry permits,arguing that it should be easier for people to obtain concealed-carry permits,arguing that it should not be easier for people to obtain concealed-carry permits
CC25_321c,the question of whether criminal background checks should be required on all gun sales,arguing that criminal background checks should be required on all gun sales,arguing that criminal background checks should not be required on all gun sales
CC25_323a,the question of whether all undocumented immigrants who have held jobs and paid taxes for at least three years and have not been convicted of felony crimes should be granted legal status,arguing that all undocumented immigrants who have held jobs and paid taxes for at least three years and have not been convicted of felony crimes should be granted legal status,arguing that all undocumented immigrants who have held jobs and paid taxes for at least three years and have not been convicted of felony crimes should not be granted legal status
CC25_323b,the question of whether the number of border patrols on the US-Mexico border should be increased,arguing that the number of border patrols on the US-Mexico border should be increased,arguing that the number of border patrols on the US-Mexico border should not be increased
CC25_323c,the question of whether a wall should be built between the United States and Mexico,arguing that a wall should be built between the United States and Mexico,arguing that a wall should not be built between the United States and Mexico
CC25_323d,the question of whether Dreamers should receive permanent resident status and a pathway to citizenship if they meet citizenship requirements and have committed no crimes,arguing that Dreamers should receive permanent resident status and a pathway to citizenship if they meet citizenship requirements and have committed no crimes,arguing that Dreamers should not receive permanent resident status and a pathway to citizenship
CC25_321d,the question of whether the number of police on the street should be increased by 10 percent even if it means fewer funds for other public services,arguing that the number of police on the street should be increased by 10 percent even if it means fewer funds for other public services,arguing that the number of police on the street should not be increased if it means fewer funds for other public services
CC25_321e,the question of whether the number of police on the street should be decreased by 10 percent and funding for other public services should be increased,arguing that the number of police on the street should be decreased by 10 percent and funding for other public services should be increased,arguing that the number of police on the street should not be decreased by 10 percent to increase funding for other public services
CC25_326a,the question of whether the Environmental Protection Agency should have the power to regulate carbon dioxide emissions,arguing that the Environmental Protection Agency should have the power to regulate carbon dioxide emissions,arguing that the Environmental Protection Agency should not have the power to regulate carbon dioxide emissions
CC25_326b,"the question of whether at least 20 percent of electricity should be required to come from renewable sources such as wind, solar, or hydroelectric power","arguing that at least 20 percent of electricity should be required to come from renewable sources such as wind, solar, or hydroelectric power","arguing that at least 20 percent of electricity should not be required to come from renewable sources such as wind, solar, or hydroelectric power"
CC25_326c,the question of whether Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act should be strengthened even if it costs US jobs,arguing that Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act should be strengthened even if it costs US jobs,arguing that Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act should not be strengthened if it costs US jobs
CC25_340d,the question of whether documentary proof of US citizenship should be required when registering to vote in federal elections,arguing that documentary proof of US citizenship should be required when registering to vote in federal elections,arguing that documentary proof of US citizenship should not be required when registering to vote in federal elections
CC25_343a,the question of whether health care professionals should be legally prohibited from providing gender-transition-related medical care to people younger than 18,arguing that health care professionals should be legally prohibited from providing gender-transition-related medical care to people younger than 18,arguing that health care professionals should not be legally prohibited from providing gender-transition-related medical care to people younger than 18
CC25_343b,the question of whether classroom discussion or instruction on sexual orientation and gender identity should be prohibited in kindergarten through third grade or when not age-appropriate or developmentally appropriate,arguing that classroom discussion or instruction on sexual orientation and gender identity should be prohibited in kindergarten through third grade or when not age-appropriate or developmentally appropriate,arguing that classroom discussion or instruction on sexual orientation and gender identity should not be prohibited in kindergarten through third grade or older grades
CC25_343c,the question of whether local municipalities and other public bodies should be prohibited from interfering with a person's ability to obtain a gender transition operation,arguing that local municipalities and other public bodies should be prohibited from interfering with a person's ability to obtain a gender transition operation,arguing that local municipalities and other public bodies should not be prohibited from regulating access to gender transition operations
CC25_326d,the question of whether the United States should increase fossil fuel production,arguing that the United States should increase fossil fuel production,arguing that the United States should not increase fossil fuel production
CC25_326e,the question of whether new oil and gas leases on federal lands should be halted,arguing that new oil and gas leases on federal lands should be halted,arguing that new oil and gas leases on federal lands should not be halted
