analysis_tier,issue_cluster,ces_variable,ces_item_short,ces_question_item,ces_support_code,ces_oppose_code,ces_missing_codes,ces_binary_rule,topic_neutral,topic_support,topic_oppose,stance_target,support_label,oppose_label,liberal_sign,notes
main,abortion,CC25_324,abortion legality,"Which one of the opinions on this page best agrees with your view on abortion?","3 Permit for other reasons after need established; 4 Always able to obtain abortion as personal choice","1 Never permitted; 2 Permit only in rape incest or life-of-mother cases","8;9; missing","binary split: 3-4=support/permissive, 1-2=oppose/restrictive",abortion law,support for more permissive abortion law,opposition to more permissive abortion law,more permissive abortion law,more permissive,more restrictive,1,"Four-point CES item recoded to binary for support-rate comparison; keep ordered 1-4 analysis as robustness."
main,gun_policy,CC25_321a,assault rifle ban,Ban assault rifles,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,assault weapon regulation,support for banning assault rifles,opposition to banning assault rifles,banning assault rifles,supports ban,opposes ban,1,
main,gun_policy,CC25_321b,concealed-carry permits,Make it easier for people to obtain concealed-carry permit,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,concealed-carry permit policy,support for making concealed-carry permits easier to obtain,opposition to making concealed-carry permits easier to obtain,making concealed-carry permits easier to obtain,supports easier access,opposes easier access,-1,"Supporting this item is conventionally conservative/pro-gun-rights."
main,gun_policy,CC25_321c,firearm background checks,Require criminal background checks on all gun sales,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,firearm background check policy,support for requiring background checks on all gun sales,opposition to requiring background checks on all gun sales,requiring background checks on all gun sales,supports checks,opposes checks,1,
main,immigration,CC25_323a,legal status for long-term undocumented immigrants,Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years and not been convicted of any felony crimes,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,legal status for long-term undocumented immigrants,support for granting legal status to long-term undocumented immigrants,opposition to granting legal status to long-term undocumented immigrants,granting legal status to long-term undocumented immigrants,supports legal status,opposes legal status,1,
main,immigration,CC25_323b,border patrol increase,Increase the number of border patrols on the US-Mexican border,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,US-Mexico border patrol policy,support for increasing border patrols on the US-Mexico border,opposition to increasing border patrols on the US-Mexico border,increasing border patrols on the US-Mexico border,supports increase,opposes increase,-1,"Supporting this item is conventionally conservative/restrictionist."
main,immigration,CC25_323c,border wall,Build a wall between the U.S. and Mexico,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,US southern border wall policy,support for building a US-Mexico border wall,opposition to building a US-Mexico border wall,building a US-Mexico border wall,supports wall,opposes wall,-1,"Supporting this item is conventionally conservative/restrictionist."
main,immigration,CC25_323d,Dreamers pathway to citizenship,Provide permanent resident status to children of immigrants who were brought to the United States by their parents also known as Dreamers. Provide these immigrants a pathway to citizenship if they meet the citizenship requirements and have committed no crimes,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,legal status for people brought to the US as children,support for a pathway to citizenship for Dreamers,opposition to a pathway to citizenship for Dreamers,providing a pathway to citizenship for Dreamers,supports pathway,opposes pathway,1,
main,policing,CC25_321d,police staffing increase,Increase the number of police on the street by 10 percent even if it means fewer funds for other public services,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,police staffing and public-service funding,support for increasing police staffing even with fewer funds for other public services,opposition to increasing police staffing if it means fewer funds for other public services,increasing police staffing even with fewer funds for other public services,supports police increase,opposes police increase,-1,"Supporting this item is conventionally conservative/pro-police-spending."
main,policing,CC25_321e,police staffing decrease,Decrease the number of police on the street by 10 percent and increase funding for other public services,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,police staffing and public-service funding,support for decreasing police staffing and increasing other public-service funding,opposition to decreasing police staffing and increasing other public-service funding,decreasing police staffing and increasing other public-service funding,supports police decrease,opposes police decrease,1,
main,environment_energy,CC25_326a,EPA CO2 regulation,Give the Environmental Protection Agency power to regulate carbon dioxide emissions,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,EPA authority over carbon emissions,support for EPA regulation of carbon dioxide emissions,opposition to EPA regulation of carbon dioxide emissions,giving the EPA power to regulate carbon dioxide emissions,supports EPA authority,opposes EPA authority,1,
main,environment_energy,CC25_326b,renewable electricity mandate,Require that at least 20 percent of electricity be generated with renewable sources such as wind solar or hydroelectric power,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,renewable electricity requirements,support for requiring at least 20 percent renewable electricity,opposition to requiring at least 20 percent renewable electricity,requiring at least 20 percent renewable electricity,supports renewable requirement,opposes renewable requirement,1,
main,environment_energy,CC25_326c,EPA enforcement and jobs,Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,environmental enforcement and jobs,support for stronger EPA enforcement even if it costs US jobs,opposition to stronger EPA enforcement if it costs US jobs,strengthening EPA enforcement even if it costs US jobs,supports stronger enforcement,opposes stronger enforcement,1,
main,election_regulation,CC25_340d,proof of citizenship to vote,Require documentary proof of U.S. citizenship when registering to vote in federal elections.,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,proof-of-citizenship requirements for voter registration,support for requiring documentary proof of citizenship to register to vote,opposition to requiring documentary proof of citizenship to register to vote,requiring documentary proof of citizenship for voter registration,supports requirement,opposes requirement,-1,"Supporting this item is conventionally conservative/election-restrictionist."
main,lgbt_policy,CC25_343a,gender-affirming care ban for minors,Make it illegal for health care professionals to provide someone younger than 18 with medical care for a gender transition,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,medical care for minors with gender dysphoria,support for banning gender-transition-related medical care for minors,opposition to banning gender-transition-related medical care for minors,banning gender-transition-related medical care for minors,supports ban,opposes ban,-1,"Supporting this item is conventionally conservative/restrictive."
main,lgbt_policy,CC25_343b,K-3 classroom discussion restriction,Prohibit classroom discussion or instruction on sexual orientation and identity in kindergarten to third grade or in older grades in a manner that is not age-appropriate or developmentally appropriate,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,discussion of sexual orientation and gender identity in elementary schools,support for restricting classroom discussion of sexual orientation and gender identity,opposition to restricting classroom discussion of sexual orientation and gender identity,restricting classroom discussion of sexual orientation and gender identity,supports restriction,opposes restriction,-1,"Supporting this item is conventionally conservative/restrictive."
main,lgbt_policy,CC25_343c,local interference with gender transition operations,Prohibit local municipalities and other public bodies from interfering with a person's ability to obtain a gender transition operation,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,local authority over gender transition operations,support for prohibiting local interference with access to gender transition operations,opposition to prohibiting local interference with access to gender transition operations,prohibiting local interference with access to gender transition operations,supports access protection,opposes access protection,1,
sensitivity,public_spending,CC25_340g,federal spending rescissions,Cut $9.4 billion from previously allocated federal spending including $8.3 billion from foreign aid programs and $1.1 billion from NPR and PBS public broadcasting.,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,federal spending cuts,support for cutting previously allocated federal spending,opposition to cutting previously allocated federal spending,cutting previously allocated federal spending,supports cuts,opposes cuts,-1,"Bundled by program area; use as sensitivity rather than main item."
robustness,abortion,CC25_340e,born-alive abortion bill,Require medical care for infants born alive after attempted abortions with criminal penalties for doctors who fail to provide care.,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,medical care requirements after attempted abortions,support for requiring medical care after attempted abortions,opposition to requiring medical care after attempted abortions,requiring medical care after attempted abortions,supports requirement,opposes requirement,-1,"Abortion-adjacent item; not equivalent to general abortion permissiveness."
robustness,environment_energy,CC25_326d,fossil fuel production,Increase fossil fuel production in the U.S.,1 Support,2 Oppose,"8;9; missing",support_vs_oppose,US fossil fuel production,support for increasing US fossil fuel production,opposition to increasing US fossil fuel production,increasing US fossil fuel production,supports increase,opposes increase,-1,"Climate/energy robustness item."
