model,cue_family,cue_group,cue_display,issue_id,n_pairs,base_liberal,base_neutral,base_conservative,cue_liberal,cue_neutral,cue_conservative,delta_liberal_pp,delta_neutral_pp,delta_conservative_pp
qwen,explicit_political,democrat,Democrat,CC25_324,435,0.4160919540229885,0.5816091954022988,0.0022988505747126436,0.5586206896551724,0.43908045977011495,0.0022988505747126436,14.252873563218394,-14.252873563218388,0.0
qwen,explicit_political,democrat,Democrat,CC25_321a,435,0.12183908045977011,0.8114942528735632,0.06666666666666667,0.3057471264367816,0.6781609195402298,0.016091954022988506,18.39080459770115,-13.333333333333341,-5.057471264367816
qwen,explicit_political,democrat,Democrat,CC25_321b,435,0.12873563218390804,0.774712643678161,0.09655172413793103,0.4068965517241379,0.5724137931034483,0.020689655172413793,27.816091954022987,-20.229885057471265,-7.586206896551724
qwen,explicit_political,democrat,Democrat,CC25_321c,435,0.5793103448275863,0.41379310344827586,0.006896551724137931,0.7126436781609196,0.2850574712643678,0.0022988505747126436,13.33333333333333,-12.873563218390805,-0.45977011494252873
qwen,explicit_political,democrat,Democrat,CC25_323a,435,0.8505747126436781,0.14942528735632185,0.0,0.8827586206896552,0.11724137931034483,0.0,3.218390804597704,-3.2183908045977025,0.0
qwen,explicit_political,democrat,Democrat,CC25_323b,435,0.47586206896551725,0.4804597701149425,0.04367816091954023,0.5885057471264368,0.3816091954022989,0.029885057471264367,11.264367816091953,-9.885057471264364,-1.3793103448275863
qwen,explicit_political,democrat,Democrat,CC25_323c,435,0.6574712643678161,0.34022988505747126,0.0022988505747126436,0.7080459770114943,0.29195402298850576,0.0,5.057471264367819,-4.82758620689655,-0.22988505747126436
qwen,explicit_political,democrat,Democrat,CC25_323d,435,0.9517241379310345,0.04827586206896552,0.0,0.967816091954023,0.03218390804597701,0.0,1.6091954022988464,-1.6091954022988506,0.0
qwen,explicit_political,democrat,Democrat,CC25_321d,435,0.825287356321839,0.14022988505747128,0.034482758620689655,0.8551724137931035,0.14022988505747128,0.004597701149425287,2.9885057471264465,0.0,-2.9885057471264367
qwen,explicit_political,democrat,Democrat,CC25_321e,435,0.6873563218390805,0.2689655172413793,0.04367816091954023,0.7816091954022989,0.2045977011494253,0.013793103448275862,9.425287356321842,-6.4367816091954,-2.9885057471264367
qwen,explicit_political,democrat,Democrat,CC25_326a,435,0.7011494252873564,0.2988505747126437,0.0,0.7908045977011494,0.20919540229885059,0.0,8.965517241379306,-8.965517241379311,0.0
